	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Salpingoeca_urceolata_04	0.9125	0.95	0.95	0	0	0.93125	0	0	0	0.95	0.61875	0	0.95	0	0.625	0	0.95	0.95	0.9375	0	0.95	0	0	0.9125	0.84375	0.89375	0	0.8625	0.875	0	0.95	0.95	0.91875	0.575	0.91875	0.95	0	0.80625	0	0	0.64375	0.95	0.825	0	0.86875	0	0	0	0.39375	0.90625	0	0	0	0	0	0	0.91875	0.95	0	0.69375	0.80625	0.90625	0.91875	0	0.7	0	0	0	0.6	0.9125	0	0	0.81875	0	0	0	0.95	0.925	0.84375	0.94375	0.95	0.95	0.95	0.95	0.95		0.95	0.95	0.95	0	0	0	0	0	0	0.93125	0.90625
Sphaeroforma_arctica_JP610	0.9375	0.975	0.975	0	0	0.95625	0	0	0	0.975	0.61875	0	0.975	0	0.625	0	0.95	0.95	0.9625	0	0.975	0	0	0.9375	0.86875	0.89375	0	0.8625	0.875	0	0.95	0.975	0.94375	0.575	0.91875	0.975	0	0.80625	0	0	0.66875	0.975	0.825	0	0.89375	0	0	0	0.39375	0.93125	0	0	0	0	0	0	0.94375	0.975	0	0.69375	0.83125	0.93125	0.91875	0	0.7	0	0	0	0.625	0.9375	0	0	0.81875	0	0	0	0.96875	0.95	0.84375	0.96875	0.95	0.975	0.975	0.975	0.975	0.95		0.975	0.975	0	0	0	0	0	0	0.95625	0.93125
Spongilla_lacustris	0.9625	1	1	0	0	0.95625	0	0	0	1	0.61875	0	1	0	0.625	0	0.95	0.95	0.9875	0	1	0.025	0	0.9375	0.86875	0.91875	0	0.8625	0.875	0	0.975	1	0.96875	0.6	0.91875	1	0	0.80625	0	0	0.66875	1	0.825	0	0.91875	0	0	0	0.39375	0.95	0	0	0	0	0	0	0.96875	1	0	0.69375	0.83125	0.95625	0.91875	0	0.7	0	0	0	0.65	0.95625	0	0	0.81875	0	0	0	0.99375	0.975	0.84375	0.99375	0.95	0.975	1	1	1	0.95	0.975		1	0	0	0	0	0	0	0.95625	0.95625
Stephanoeca_diplocostata_AUFR	0.9625	1	1	0	0	0.95625	0	0	0	1	0.61875	0	1	0	0.625	0	0.95	0.95	0.9875	0	1	0.025	0	0.9375	0.86875	0.91875	0	0.8625	0.875	0	0.975	1	0.96875	0.6	0.91875	1	0	0.80625	0	0	0.66875	1	0.825	0	0.91875	0	0	0	0.39375	0.95	0	0	0	0	0	0	0.96875	1	0	0.69375	0.83125	0.95625	0.91875	0	0.7	0	0	0	0.65	0.95625	0	0	0.81875	0	0	0	0.99375	0.975	0.84375	0.99375	0.95	0.975	1	1	1	0.95	0.975	1		0	0	0	0	0	0	0.95625	0.95625
Stomolophus_meleagris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0
Strongylocentrotus_purpuratus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0
Sycon_ciliatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Sycon_coactum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0
Sympagella_nux	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0
Tribolium_castaneum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0
Trichoplax_adhaerens	0.91875	0.95625	0.95625	0	0	0.94375	0	0	0	0.95625	0.6	0	0.95625	0	0.625	0	0.93125	0.93125	0.94375	0	0.95625	0	0	0.91875	0.85	0.875	0	0.8625	0.86875	0	0.93125	0.95625	0.94375	0.55625	0.91875	0.95625	0	0.80625	0	0	0.66875	0.95625	0.80625	0	0.88125	0	0	0	0.39375	0.9125	0	0	0	0	0	0	0.925	0.95625	0	0.69375	0.83125	0.9125	0.91875	0	0.7	0	0	0	0.60625	0.91875	0	0	0.8	0	0	0	0.95	0.93125	0.825	0.95	0.93125	0.95625	0.95625	0.95625	0.95625	0.93125	0.95625	0.95625	0.95625	0	0	0	0	0	0		0.9125
Vallicula_multiformis	0.91875	0.95625	0.95625	0	0	0.9125	0	0	0	0.95625	0.575	0	0.95625	0	0.59375	0	0.90625	0.90625	0.94375	0	0.95625	0.025	0	0.89375	0.825	0.91875	0	0.81875	0.83125	0	0.93125	0.95625	0.925	0.6	0.875	0.95625	0	0.7625	0	0	0.625	0.95625	0.825	0	0.875	0	0	0	0.35	0.95	0	0	0	0	0	0	0.95625	0.95625	0	0.65	0.83125	0.9125	0.875	0	0.65625	0	0	0	0.65	0.9125	0	0	0.81875	0	0	0	0.95	0.93125	0.83125	0.95	0.90625	0.93125	0.95625	0.95625	0.95625	0.90625	0.93125	0.95625	0.95625	0	0	0	0	0	0	0.9125	
