	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Plakina_jani	1	0.0970149253731343	0.0970149253731343	0	1	1	0	0	1	0	1	1	1	1	0.223880597014925	0	0	0	1	1	0	0.00746268656716418	0.111940298507463	1	0.119402985074627	1	1	1	0	1	0	0.141791044776119	0.0597014925373134	1	0	0	0.276119402985075	0	0.0149253731343284	0.082089552238806	0	0	0	1	0.0223880597014925	0	0	0	0.0447761194029851	1	0	1	1	1	1	1	0	0.0746268656716418	0	0.00746268656716418	0.0895522388059701	0.925373134328358	0	1	0.17910447761194	1	1	1	0	1		0	0	0	0	1	0	0	0.119402985074627	0.238805970149254	0	0	0	0.0671641791044776	0	0.0298507462686567	1	0.507462686567164	0.134328358208955	1	0	1	1	0.0522388059701493	1	1	1
Pleraplysilla_spinifera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pleurobrachia_species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plumapathes_pennacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porites_australiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rossella_fibulata	1	0.0970149253731343	0.0970149253731343	0	1	1	0	0	1	0	1	1	1	1	0.223880597014925	0	0	0	1	1	0	0.00746268656716418	0.111940298507463	1	0.119402985074627	1	1	1	0	1	0	0.141791044776119	0.0597014925373134	1	0	0	0.276119402985075	0	0.0149253731343284	0.082089552238806	0	0	0	1	0.0223880597014925	0	0	0	0.0447761194029851	1	0	1	1	1	1	1	0	0.0746268656716418	0	0.00746268656716418	0.0895522388059701	0.925373134328358	0	1	0.17910447761194	1	1	1	0	1	1	0	0	0	0		0	0	0.119402985074627	0.238805970149254	0	0	0	0.0671641791044776	0	0.0298507462686567	1	0.507462686567164	0.134328358208955	1	0	1	1	0.0522388059701493	1	1	1
Saccoglossus_kowalevskii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salpingoeca_dolichothecata_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salpingoeca_helianthica_18	0.119402985074627	0.0522388059701493	0.0522388059701493	0	0.119402985074627	0.119402985074627	0	0	0.119402985074627	0	0.119402985074627	0.119402985074627	0.119402985074627	0.119402985074627	0.0149253731343284	0	0	0	0.119402985074627	0.119402985074627	0	0	0	0.119402985074627	0	0.119402985074627	0.119402985074627	0.119402985074627	0	0.119402985074627	0	0.0522388059701493	0.0522388059701493	0.119402985074627	0	0	0.0149253731343284	0	0	0	0	0	0	0.119402985074627	0.0149253731343284	0	0	0	0.0149253731343284	0.119402985074627	0	0.119402985074627	0.119402985074627	0.119402985074627	0.119402985074627	0.119402985074627	0	0	0	0.00746268656716418	0.0895522388059701	0.104477611940299	0	0.119402985074627	0.0149253731343284	0.119402985074627	0.119402985074627	0.119402985074627	0	0.119402985074627	0.119402985074627	0	0	0	0	0.119402985074627	0	0		0.0746268656716418	0	0	0	0	0	0	0.119402985074627	0.104477611940299	0.0522388059701493	0.119402985074627	0	0.119402985074627	0.119402985074627	0	0.119402985074627	0.119402985074627	0.119402985074627
Salpingoeca_infusionum_12	0.238805970149254	0.0223880597014925	0.0223880597014925	0	0.238805970149254	0.238805970149254	0	0	0.238805970149254	0	0.238805970149254	0.238805970149254	0.238805970149254	0.238805970149254	0.0597014925373134	0	0	0	0.238805970149254	0.238805970149254	0	0.00746268656716418	0.0671641791044776	0.238805970149254	0.0671641791044776	0.238805970149254	0.238805970149254	0.238805970149254	0	0.238805970149254	0	0.0223880597014925	0.0223880597014925	0.238805970149254	0	0	0.0149253731343284	0	0.0149253731343284	0.0671641791044776	0	0	0	0.238805970149254	0	0	0	0	0	0.238805970149254	0	0.238805970149254	0.238805970149254	0.238805970149254	0.238805970149254	0.238805970149254	0	0	0	0.00746268656716418	0.0671641791044776	0.238805970149254	0	0.238805970149254	0.0671641791044776	0.238805970149254	0.238805970149254	0.238805970149254	0	0.238805970149254	0.238805970149254	0	0	0	0	0.238805970149254	0	0	0.0746268656716418		0	0	0	0.0671641791044776	0	0	0.238805970149254	0.141791044776119	0.0223880597014925	0.238805970149254	0	0.238805970149254	0.238805970149254	0.0522388059701493	0.238805970149254	0.238805970149254	0.238805970149254
Salpingoeca_macrocollata_06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salpingoeca_punica_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salpingoeca_qvevrii_09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salpingoeca_roanoka_13	0.0671641791044776	0	0	0	0.0671641791044776	0.0671641791044776	0	0	0.0671641791044776	0	0.0671641791044776	0.0671641791044776	0.0671641791044776	0.0671641791044776	0	0	0	0	0.0671641791044776	0.0671641791044776	0	0	0.0671641791044776	0.0671641791044776	0.0671641791044776	0.0671641791044776	0.0671641791044776	0.0671641791044776	0	0.0671641791044776	0	0	0	0.0671641791044776	0	0	0	0	0	0.0671641791044776	0	0	0	0.0671641791044776	0	0	0	0	0	0.0671641791044776	0	0.0671641791044776	0.0671641791044776	0.0671641791044776	0.0671641791044776	0.0671641791044776	0	0	0	0	0	0.0671641791044776	0	0.0671641791044776	0.0671641791044776	0.0671641791044776	0.0671641791044776	0.0671641791044776	0	0.0671641791044776	0.0671641791044776	0	0	0	0	0.0671641791044776	0	0	0	0.0671641791044776	0	0	0		0	0	0.0671641791044776	0.0671641791044776	0	0.0671641791044776	0	0.0671641791044776	0.0671641791044776	0	0.0671641791044776	0.0671641791044776	0.0671641791044776
Salpingoeca_rosetta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
Salpingoeca_urceolata_04	0.0298507462686567	0	0	0	0.0298507462686567	0.0298507462686567	0	0	0.0298507462686567	0	0.0298507462686567	0.0298507462686567	0.0298507462686567	0.0298507462686567	0	0	0	0	0.0298507462686567	0.0298507462686567	0	0	0	0.0298507462686567	0.00746268656716418	0.0298507462686567	0.0298507462686567	0.0298507462686567	0	0.0298507462686567	0	0	0	0.0298507462686567	0	0	0	0	0	0	0	0	0	0.0298507462686567	0	0	0	0	0	0.0298507462686567	0	0.0298507462686567	0.0298507462686567	0.0298507462686567	0.0298507462686567	0.0298507462686567	0	0.0298507462686567	0	0	0	0.0298507462686567	0	0.0298507462686567	0	0.0298507462686567	0.0298507462686567	0.0298507462686567	0	0.0298507462686567	0.0298507462686567	0	0	0	0	0.0298507462686567	0	0	0	0	0	0	0	0	0		0.0298507462686567	0.0298507462686567	0	0.0298507462686567	0	0.0298507462686567	0.0298507462686567	0	0.0298507462686567	0.0298507462686567	0.0298507462686567
Sphaeroforma_arctica_JP610	1	0.0970149253731343	0.0970149253731343	0	1	1	0	0	1	0	1	1	1	1	0.223880597014925	0	0	0	1	1	0	0.00746268656716418	0.111940298507463	1	0.119402985074627	1	1	1	0	1	0	0.141791044776119	0.0597014925373134	1	0	0	0.276119402985075	0	0.0149253731343284	0.082089552238806	0	0	0	1	0.0223880597014925	0	0	0	0.0447761194029851	1	0	1	1	1	1	1	0	0.0746268656716418	0	0.00746268656716418	0.0895522388059701	0.925373134328358	0	1	0.17910447761194	1	1	1	0	1	1	0	0	0	0	1	0	0	0.119402985074627	0.238805970149254	0	0	0	0.0671641791044776	0	0.0298507462686567		0.507462686567164	0.134328358208955	1	0	1	1	0.0522388059701493	1	1	1
Spongilla_lacustris	0.507462686567164	0.0970149253731343	0.0970149253731343	0	0.507462686567164	0.507462686567164	0	0	0.507462686567164	0	0.507462686567164	0.507462686567164	0.507462686567164	0.507462686567164	0	0	0	0	0.507462686567164	0.507462686567164	0	0	0.111940298507463	0.507462686567164	0.119402985074627	0.507462686567164	0.507462686567164	0.507462686567164	0	0.507462686567164	0	0.141791044776119	0.0597014925373134	0.507462686567164	0	0	0	0	0	0.082089552238806	0	0	0	0.507462686567164	0	0	0	0	0	0.507462686567164	0	0.507462686567164	0.507462686567164	0.507462686567164	0.507462686567164	0.507462686567164	0	0.0746268656716418	0	0.00746268656716418	0.0895522388059701	0.507462686567164	0	0.507462686567164	0.164179104477612	0.507462686567164	0.507462686567164	0.507462686567164	0	0.507462686567164	0.507462686567164	0	0	0	0	0.507462686567164	0	0	0.104477611940299	0.141791044776119	0	0	0	0.0671641791044776	0	0.0298507462686567	0.507462686567164		0.134328358208955	0.507462686567164	0	0.507462686567164	0.507462686567164	0	0.507462686567164	0.507462686567164	0.507462686567164
Stephanoeca_diplocostata_AUFR	0.134328358208955	0.0970149253731343	0.0970149253731343	0	0.134328358208955	0.134328358208955	0	0	0.134328358208955	0	0.134328358208955	0.134328358208955	0.134328358208955	0.134328358208955	0	0	0	0	0.134328358208955	0.134328358208955	0	0	0	0.134328358208955	0	0.134328358208955	0.134328358208955	0.134328358208955	0	0.134328358208955	0	0.134328358208955	0.0597014925373134	0.134328358208955	0	0	0	0	0	0	0	0	0	0.134328358208955	0	0	0	0	0	0.134328358208955	0	0.134328358208955	0.134328358208955	0.134328358208955	0.134328358208955	0.134328358208955	0	0	0	0	0.0447761194029851	0.134328358208955	0	0.134328358208955	0.0447761194029851	0.134328358208955	0.134328358208955	0.134328358208955	0	0.134328358208955	0.134328358208955	0	0	0	0	0.134328358208955	0	0	0.0522388059701493	0.0223880597014925	0	0	0	0	0	0	0.134328358208955	0.134328358208955		0.134328358208955	0	0.134328358208955	0.134328358208955	0	0.134328358208955	0.134328358208955	0.134328358208955
Stomolophus_meleagris	1	0.0970149253731343	0.0970149253731343	0	1	1	0	0	1	0	1	1	1	1	0.223880597014925	0	0	0	1	1	0	0.00746268656716418	0.111940298507463	1	0.119402985074627	1	1	1	0	1	0	0.141791044776119	0.0597014925373134	1	0	0	0.276119402985075	0	0.0149253731343284	0.082089552238806	0	0	0	1	0.0223880597014925	0	0	0	0.0447761194029851	1	0	1	1	1	1	1	0	0.0746268656716418	0	0.00746268656716418	0.0895522388059701	0.925373134328358	0	1	0.17910447761194	1	1	1	0	1	1	0	0	0	0	1	0	0	0.119402985074627	0.238805970149254	0	0	0	0.0671641791044776	0	0.0298507462686567	1	0.507462686567164	0.134328358208955		0	1	1	0.0522388059701493	1	1	1
Strongylocentrotus_purpuratus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0
Sycon_ciliatum	1	0.0970149253731343	0.0970149253731343	0	1	1	0	0	1	0	1	1	1	1	0.223880597014925	0	0	0	1	1	0	0.00746268656716418	0.111940298507463	1	0.119402985074627	1	1	1	0	1	0	0.141791044776119	0.0597014925373134	1	0	0	0.276119402985075	0	0.0149253731343284	0.082089552238806	0	0	0	1	0.0223880597014925	0	0	0	0.0447761194029851	1	0	1	1	1	1	1	0	0.0746268656716418	0	0.00746268656716418	0.0895522388059701	0.925373134328358	0	1	0.17910447761194	1	1	1	0	1	1	0	0	0	0	1	0	0	0.119402985074627	0.238805970149254	0	0	0	0.0671641791044776	0	0.0298507462686567	1	0.507462686567164	0.134328358208955	1	0		1	0.0522388059701493	1	1	1
Sycon_coactum	1	0.0970149253731343	0.0970149253731343	0	1	1	0	0	1	0	1	1	1	1	0.223880597014925	0	0	0	1	1	0	0.00746268656716418	0.111940298507463	1	0.119402985074627	1	1	1	0	1	0	0.141791044776119	0.0597014925373134	1	0	0	0.276119402985075	0	0.0149253731343284	0.082089552238806	0	0	0	1	0.0223880597014925	0	0	0	0.0447761194029851	1	0	1	1	1	1	1	0	0.0746268656716418	0	0.00746268656716418	0.0895522388059701	0.925373134328358	0	1	0.17910447761194	1	1	1	0	1	1	0	0	0	0	1	0	0	0.119402985074627	0.238805970149254	0	0	0	0.0671641791044776	0	0.0298507462686567	1	0.507462686567164	0.134328358208955	1	0	1		0.0522388059701493	1	1	1
Sympagella_nux	0.0522388059701493	0	0	0	0.0522388059701493	0.0522388059701493	0	0	0.0522388059701493	0	0.0522388059701493	0.0522388059701493	0.0522388059701493	0.0522388059701493	0.0298507462686567	0	0	0	0.0522388059701493	0.0522388059701493	0	0.00746268656716418	0	0.0522388059701493	0	0.0522388059701493	0.0522388059701493	0.0522388059701493	0	0.0522388059701493	0	0	0	0.0522388059701493	0	0	0.0149253731343284	0	0	0	0	0	0	0.0522388059701493	0	0	0	0	0	0.0522388059701493	0	0.0522388059701493	0.0522388059701493	0.0522388059701493	0.0522388059701493	0.0522388059701493	0	0	0	0	0	0.0522388059701493	0	0.0522388059701493	0	0.0522388059701493	0.0522388059701493	0.0522388059701493	0	0.0522388059701493	0.0522388059701493	0	0	0	0	0.0522388059701493	0	0	0	0.0522388059701493	0	0	0	0	0	0	0.0522388059701493	0	0	0.0522388059701493	0	0.0522388059701493	0.0522388059701493		0.0522388059701493	0.0522388059701493	0.0522388059701493
Tribolium_castaneum	1	0.0970149253731343	0.0970149253731343	0	1	1	0	0	1	0	1	1	1	1	0.223880597014925	0	0	0	1	1	0	0.00746268656716418	0.111940298507463	1	0.119402985074627	1	1	1	0	1	0	0.141791044776119	0.0597014925373134	1	0	0	0.276119402985075	0	0.0149253731343284	0.082089552238806	0	0	0	1	0.0223880597014925	0	0	0	0.0447761194029851	1	0	1	1	1	1	1	0	0.0746268656716418	0	0.00746268656716418	0.0895522388059701	0.925373134328358	0	1	0.17910447761194	1	1	1	0	1	1	0	0	0	0	1	0	0	0.119402985074627	0.238805970149254	0	0	0	0.0671641791044776	0	0.0298507462686567	1	0.507462686567164	0.134328358208955	1	0	1	1	0.0522388059701493		1	1
Trichoplax_adhaerens	1	0.0970149253731343	0.0970149253731343	0	1	1	0	0	1	0	1	1	1	1	0.223880597014925	0	0	0	1	1	0	0.00746268656716418	0.111940298507463	1	0.119402985074627	1	1	1	0	1	0	0.141791044776119	0.0597014925373134	1	0	0	0.276119402985075	0	0.0149253731343284	0.082089552238806	0	0	0	1	0.0223880597014925	0	0	0	0.0447761194029851	1	0	1	1	1	1	1	0	0.0746268656716418	0	0.00746268656716418	0.0895522388059701	0.925373134328358	0	1	0.17910447761194	1	1	1	0	1	1	0	0	0	0	1	0	0	0.119402985074627	0.238805970149254	0	0	0	0.0671641791044776	0	0.0298507462686567	1	0.507462686567164	0.134328358208955	1	0	1	1	0.0522388059701493	1		1
Vallicula_multiformis	1	0.0970149253731343	0.0970149253731343	0	1	1	0	0	1	0	1	1	1	1	0.223880597014925	0	0	0	1	1	0	0.00746268656716418	0.111940298507463	1	0.119402985074627	1	1	1	0	1	0	0.141791044776119	0.0597014925373134	1	0	0	0.276119402985075	0	0.0149253731343284	0.082089552238806	0	0	0	1	0.0223880597014925	0	0	0	0.0447761194029851	1	0	1	1	1	1	1	0	0.0746268656716418	0	0.00746268656716418	0.0895522388059701	0.925373134328358	0	1	0.17910447761194	1	1	1	0	1	1	0	0	0	0	1	0	0	0.119402985074627	0.238805970149254	0	0	0	0.0671641791044776	0	0.0298507462686567	1	0.507462686567164	0.134328358208955	1	0	1	1	0.0522388059701493	1	1	
