	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Rossella_fibulata	0	0.845238095238095	0.952380952380952	0.952380952380952	0	0	0.80952380952381	0.952380952380952	0	0.952380952380952	0	0.714285714285714	0.952380952380952	0	0.583333333333333	0	0.952380952380952	0.952380952380952	0	0	0.952380952380952	0	0	0.869047619047619	0	0.952380952380952	0.869047619047619	0.952380952380952	0.952380952380952	0	0.952380952380952	0.952380952380952	0.952380952380952	0	0.952380952380952	0.80952380952381	0.928571428571429	0	0.952380952380952	0	0.952380952380952	0	0.952380952380952	0	0	0.952380952380952	0	0	0.952380952380952	0	0	0	0	0	0.952380952380952	0	0	0.952380952380952	0.952380952380952	0	0	0	0.952380952380952	0.869047619047619	0.857142857142857	0.952380952380952	0.0952380952380952	0	0.80952380952381	0	0.952380952380952	0	0.952380952380952	0.952380952380952	0.952380952380952		0.952380952380952	0	0	0.952380952380952	0	0	0.952380952380952	0.952380952380952	0.952380952380952	0.952380952380952	0	0.380952380952381	0	0.952380952380952	0.952380952380952	0	0	0.952380952380952	0.952380952380952	0	0.952380952380952
Saccoglossus_kowalevskii	0	0.845238095238095	0.988095238095238	1	0	0	0.857142857142857	1	0	1	0	0.761904761904762	1	0	0.630952380952381	0	1	1	0	0	1	0	0	0.880952380952381	0	1	0.869047619047619	1	1	0	1	0.964285714285714	0.976190476190476	0	0.988095238095238	0.857142857142857	0.976190476190476	0	0.988095238095238	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0.869047619047619	0.857142857142857	1	0.0952380952380952	0	0.821428571428571	0	0.976190476190476	0	1	1	1	0.952380952380952		0	0	1	0	0	1	1	1	0.952380952380952	0	0.392857142857143	0	1	1	0	0	1	1	0	1
Salpingoeca_dolichothecata_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salpingoeca_helianthica_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salpingoeca_infusionum_12	0	0.845238095238095	0.988095238095238	1	0	0	0.857142857142857	1	0	1	0	0.761904761904762	1	0	0.630952380952381	0	1	1	0	0	1	0	0	0.880952380952381	0	1	0.869047619047619	1	1	0	1	0.964285714285714	0.976190476190476	0	0.988095238095238	0.857142857142857	0.976190476190476	0	0.988095238095238	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0.869047619047619	0.857142857142857	1	0.0952380952380952	0	0.821428571428571	0	0.976190476190476	0	1	1	1	0.952380952380952	1	0	0		0	0	1	1	1	0.952380952380952	0	0.392857142857143	0	1	1	0	0	1	1	0	1
Salpingoeca_macrocollata_06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salpingoeca_punica_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salpingoeca_qvevrii_09	0	0.845238095238095	0.988095238095238	1	0	0	0.857142857142857	1	0	1	0	0.761904761904762	1	0	0.630952380952381	0	1	1	0	0	1	0	0	0.880952380952381	0	1	0.869047619047619	1	1	0	1	0.964285714285714	0.976190476190476	0	0.988095238095238	0.857142857142857	0.976190476190476	0	0.988095238095238	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0.869047619047619	0.857142857142857	1	0.0952380952380952	0	0.821428571428571	0	0.976190476190476	0	1	1	1	0.952380952380952	1	0	0	1	0	0		1	1	0.952380952380952	0	0.392857142857143	0	1	1	0	0	1	1	0	1
Salpingoeca_roanoka_13	0	0.845238095238095	0.988095238095238	1	0	0	0.857142857142857	1	0	1	0	0.761904761904762	1	0	0.630952380952381	0	1	1	0	0	1	0	0	0.880952380952381	0	1	0.869047619047619	1	1	0	1	0.964285714285714	0.976190476190476	0	0.988095238095238	0.857142857142857	0.976190476190476	0	0.988095238095238	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0.869047619047619	0.857142857142857	1	0.0952380952380952	0	0.821428571428571	0	0.976190476190476	0	1	1	1	0.952380952380952	1	0	0	1	0	0	1		1	0.952380952380952	0	0.392857142857143	0	1	1	0	0	1	1	0	1
Salpingoeca_rosetta	0	0.845238095238095	0.988095238095238	1	0	0	0.857142857142857	1	0	1	0	0.761904761904762	1	0	0.630952380952381	0	1	1	0	0	1	0	0	0.880952380952381	0	1	0.869047619047619	1	1	0	1	0.964285714285714	0.976190476190476	0	0.988095238095238	0.857142857142857	0.976190476190476	0	0.988095238095238	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0.869047619047619	0.857142857142857	1	0.0952380952380952	0	0.821428571428571	0	0.976190476190476	0	1	1	1	0.952380952380952	1	0	0	1	0	0	1	1		0.952380952380952	0	0.392857142857143	0	1	1	0	0	1	1	0	1
Salpingoeca_urceolata_04	0	0.845238095238095	0.952380952380952	0.952380952380952	0	0	0.80952380952381	0.952380952380952	0	0.952380952380952	0	0.714285714285714	0.952380952380952	0	0.583333333333333	0	0.952380952380952	0.952380952380952	0	0	0.952380952380952	0	0	0.869047619047619	0	0.952380952380952	0.869047619047619	0.952380952380952	0.952380952380952	0	0.952380952380952	0.952380952380952	0.952380952380952	0	0.952380952380952	0.80952380952381	0.928571428571429	0	0.952380952380952	0	0.952380952380952	0	0.952380952380952	0	0	0.952380952380952	0	0	0.952380952380952	0	0	0	0	0	0.952380952380952	0	0	0.952380952380952	0.952380952380952	0	0	0	0.952380952380952	0.869047619047619	0.857142857142857	0.952380952380952	0.0952380952380952	0	0.80952380952381	0	0.952380952380952	0	0.952380952380952	0.952380952380952	0.952380952380952	0.952380952380952	0.952380952380952	0	0	0.952380952380952	0	0	0.952380952380952	0.952380952380952	0.952380952380952		0	0.380952380952381	0	0.952380952380952	0.952380952380952	0	0	0.952380952380952	0.952380952380952	0	0.952380952380952
Sphaeroforma_arctica_JP610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Spongilla_lacustris	0	0.380952380952381	0.380952380952381	0.392857142857143	0	0	0.392857142857143	0.392857142857143	0	0.392857142857143	0	0.392857142857143	0.392857142857143	0	0.285714285714286	0	0.392857142857143	0.392857142857143	0	0	0.392857142857143	0	0	0.392857142857143	0	0.392857142857143	0.380952380952381	0.392857142857143	0.392857142857143	0	0.392857142857143	0.380952380952381	0.380952380952381	0	0.380952380952381	0.392857142857143	0.369047619047619	0	0.392857142857143	0	0.392857142857143	0	0.392857142857143	0	0	0.392857142857143	0	0	0.392857142857143	0	0	0	0	0	0.392857142857143	0	0	0.392857142857143	0.392857142857143	0	0	0	0.392857142857143	0.380952380952381	0.380952380952381	0.392857142857143	0	0	0.392857142857143	0	0.380952380952381	0	0.392857142857143	0.392857142857143	0.392857142857143	0.380952380952381	0.392857142857143	0	0	0.392857142857143	0	0	0.392857142857143	0.392857142857143	0.392857142857143	0.380952380952381	0		0	0.392857142857143	0.392857142857143	0	0	0.392857142857143	0.392857142857143	0	0.392857142857143
Stephanoeca_diplocostata_AUFR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0
Stomolophus_meleagris	0	0.845238095238095	0.988095238095238	1	0	0	0.857142857142857	1	0	1	0	0.761904761904762	1	0	0.630952380952381	0	1	1	0	0	1	0	0	0.880952380952381	0	1	0.869047619047619	1	1	0	1	0.964285714285714	0.976190476190476	0	0.988095238095238	0.857142857142857	0.976190476190476	0	0.988095238095238	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0.869047619047619	0.857142857142857	1	0.0952380952380952	0	0.821428571428571	0	0.976190476190476	0	1	1	1	0.952380952380952	1	0	0	1	0	0	1	1	1	0.952380952380952	0	0.392857142857143	0		1	0	0	1	1	0	1
Strongylocentrotus_purpuratus	0	0.845238095238095	0.988095238095238	1	0	0	0.857142857142857	1	0	1	0	0.761904761904762	1	0	0.630952380952381	0	1	1	0	0	1	0	0	0.880952380952381	0	1	0.869047619047619	1	1	0	1	0.964285714285714	0.976190476190476	0	0.988095238095238	0.857142857142857	0.976190476190476	0	0.988095238095238	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0.869047619047619	0.857142857142857	1	0.0952380952380952	0	0.821428571428571	0	0.976190476190476	0	1	1	1	0.952380952380952	1	0	0	1	0	0	1	1	1	0.952380952380952	0	0.392857142857143	0	1		0	0	1	1	0	1
Sycon_ciliatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Sycon_coactum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0
Sympagella_nux	0	0.845238095238095	0.988095238095238	1	0	0	0.857142857142857	1	0	1	0	0.761904761904762	1	0	0.630952380952381	0	1	1	0	0	1	0	0	0.880952380952381	0	1	0.869047619047619	1	1	0	1	0.964285714285714	0.976190476190476	0	0.988095238095238	0.857142857142857	0.976190476190476	0	0.988095238095238	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0.869047619047619	0.857142857142857	1	0.0952380952380952	0	0.821428571428571	0	0.976190476190476	0	1	1	1	0.952380952380952	1	0	0	1	0	0	1	1	1	0.952380952380952	0	0.392857142857143	0	1	1	0	0		1	0	1
Tribolium_castaneum	0	0.845238095238095	0.988095238095238	1	0	0	0.857142857142857	1	0	1	0	0.761904761904762	1	0	0.630952380952381	0	1	1	0	0	1	0	0	0.880952380952381	0	1	0.869047619047619	1	1	0	1	0.964285714285714	0.976190476190476	0	0.988095238095238	0.857142857142857	0.976190476190476	0	0.988095238095238	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0.869047619047619	0.857142857142857	1	0.0952380952380952	0	0.821428571428571	0	0.976190476190476	0	1	1	1	0.952380952380952	1	0	0	1	0	0	1	1	1	0.952380952380952	0	0.392857142857143	0	1	1	0	0	1		0	1
Trichoplax_adhaerens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0
Vallicula_multiformis	0	0.845238095238095	0.988095238095238	1	0	0	0.857142857142857	1	0	1	0	0.761904761904762	1	0	0.630952380952381	0	1	1	0	0	1	0	0	0.880952380952381	0	1	0.869047619047619	1	1	0	1	0.964285714285714	0.976190476190476	0	0.988095238095238	0.857142857142857	0.976190476190476	0	0.988095238095238	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0.869047619047619	0.857142857142857	1	0.0952380952380952	0	0.821428571428571	0	0.976190476190476	0	1	1	1	0.952380952380952	1	0	0	1	0	0	1	1	1	0.952380952380952	0	0.392857142857143	0	1	1	0	0	1	1	0	
